rep , file ,gen, r2, Ne1, Ne2, Ne3, Ne4 
0,  sample0.dat , 49 , 0.00488043687158, 194.160583942, 213.941018767  , 212.8 , 210.0  
1,  sample1.dat , 49 , 0.00268624443501, 207.272727273, 186.885245902  , 206.735751295 , 210.0  
2,  sample2.dat , 49 , 0.0036714157754, 212.8, 189.099526066  , 194.160583942 , 200.502512563  
3,  sample3.dat , 49 , 0.00450079327067, 196.551724138, 201.007556675  , 190.453460621 , 210.55408971  
4,  sample4.dat , 49 , 0.00467911159445, 200.0, 192.753623188  , 198.014888337 , 184.722222222  
5,  sample5.dat , 49 , 0.00431011368045, 197.037037037, 198.014888337  , 188.20754717 , 196.551724138  
6,  sample6.dat , 49 , 0.00642363462563, 192.753623188, 192.289156627  , 202.538071066 , 191.826923077  
7,  sample7.dat , 49 , 0.00399247384457, 202.538071066, 205.141388175  , 192.753623188 , 190.909090909  
8,  sample8.dat , 49 , 0.00294958901494, 201.515151515, 210.55408971  , 178.523489933 , 202.025316456  
9,  sample9.dat , 49 , 0.0046059864196, 192.753623188, 204.615384615  , 186.885245902 , 206.735751295  
10,  sample10.dat , 49 , 0.00341767641365, 185.150812065, 211.671087533  , 222.905027933 , 213.368983957  
11,  sample11.dat , 49 , 0.004388321146, 196.068796069, 201.515151515  , 202.025316456 , 213.941018767  
12,  sample12.dat , 49 , 0.00506640662781, 204.092071611, 194.160583942  , 186.885245902 , 189.548693587  
13,  sample13.dat , 49 , 0.00406324132448, 183.027522936, 188.65248227  , 201.007556675 , 200.0  
14,  sample14.dat , 49 , 0.00370806320589, 192.753623188, 199.002493766  , 190.909090909 , 174.23580786  
15,  sample15.dat , 49 , 0.00310668212609, 202.538071066, 211.671087533  , 193.689320388 , 225.423728814  
16,  sample16.dat , 49 , 0.0048568210298, 195.588235294, 211.111111111  , 196.068796069 , 192.289156627  
17,  sample17.dat , 49 , 0.0047188300702, 201.515151515, 193.220338983  , 203.053435115 , 187.323943662  
18,  sample18.dat , 49 , 0.00390637929903, 183.448275862, 212.234042553  , 208.90052356 , 195.11002445  
19,  sample19.dat , 49 , 0.00266512438902, 216.847826087, 203.571428571  , 211.671087533 , 193.689320388  
20,  sample20.dat , 49 , 0.00353920306609, 218.032786885, 201.515151515  , 193.689320388 , 186.885245902  
21,  sample21.dat , 49 , 0.00596963525632, 194.634146341, 196.068796069  , 203.571428571 , 195.588235294  
22,  sample22.dat , 49 , 0.00325311900898, 208.355091384, 184.722222222  , 200.502512563 , 189.099526066  
23,  sample23.dat , 49 , 0.00393259962858, 203.053435115, 215.094339623  , 182.191780822 , 207.272727273  
24,  sample24.dat , 49 , 0.00383120661322, 207.272727273, 196.551724138  , 211.111111111 , 202.025316456  
